Name,Tm
Alex DeGoti,HOU
Jose DeLeon,CIN
Ha-Seong K,SDP
Kwang HyunKi,STL
Isiah Kiner-Falefa,TEX
Tommy LaStella,SFG
Tzu-Wei Li,MIN
Dustin May,LAD
Trevor May,NYM
Daniel PoncedeLeon,STL
Michael Taylor,KCR
LaMonte Wade ,SFG
Bryan Abreu,HOU
José Abreu,CHW
Ronald Acuna ,ATL
Jason Ada,CHC
Willy Adames,TBR
Austin Adams,SDP
Ehire Adrianza,ATL
Jesus Aguilar,MIA
Nick Ahmed,ARI
Hanser Alberto,KCR
Ozzie Albies,ATL
Jorge Alcala,MIN
Sandy Alcantara,MIA
Scott Alexander,LAD
Jorge Alfaro,MIA
Anthony Alford,PIT
Logan Allen,CLE
Yency Almonte,COL
Albert Almora,NYM
Pete Alonso,NYM
Dan Altavilla,SDP
Jose Altuve,HOU
Jose Alvarado,PHI
Jose Alvarez,SFG
Yordan Álvarez,HOU
Adbert Alzolay,CHC
Brett Anderson,MIL
Brian Anderson,MIA
Chase Anderson,PHI
Ian Anderson,ATL
Tim Anderson,CHW
Tyler Anderson,PIT
Matt Andriese,BOS
Elvis Andrus,OAK
Tejay Antone,CIN
Aristides Aquino,CIN
Chris Archer,TBR
Orlando Arcia,MIL
Nolan Arenado,STL
Shawn Armstrong,BAL
Randy Arozarena,TBR
Luis Arraez,MIN
Jake Arrieta,CHC
Christian Arroyo,BOS
Willians Astudillo,MIN
Alex Avila,WSN
Luis Avilan,WSN
Akil Baddoo,DET
Javier Bae,CHC
Caleb Baragar,SFG
Daniel Bar,COL
Scott Barlow,KCR
Austin Barnes,LAD
Jacob Barnes,NYM
Matt Barnes,BOS
Tucker Barnhart,CIN
Tres Barrera,WSN
Anthony Bas,MIA
Chris Bassitt,OAK
Trevor Bauer,LAD
Jake Bauers,CLE
Matt Beaty,LAD
David Bednar,PIT
Cam Bedrosian,CIN
Josh Bell,WSN
Cody Bellinger,LAD
Brandon Belt,SFG
Anthony Bemboom,LAA
Andrew Benintendi,KCR
Jose Berrios,MIN
Jon Berti,MIA
Dellin Betances,NYM
Mookie Betts,LAD
Bo Bichette,TOR
Phil Bickford,MIL
Jesse Biddle,ATL
Shane Bieber,CLE
Brandon Bielak,HOU
Cavan Biggio,TOR
Braden Bishop,SEA
Charlie Blackmon,COL
Alex Blandino,CIN
Travis Blankenhorn,MIN
Richard Bleier,MIA
Xander Bogaerts,BOS
Alec Boh,PHI
Skye Bolt,SFG
David Bot,CHC
Ben Bowden,COL
Brad Boxberger,MIL
Archie Bradley,PHI
Jackie Bradley ,MIL
Michael Brantley,HOU
Alex Bregman,HOU
Jake Brentz,KCR
Lewis Brinson,MIA
Connor Brogdon,PHI
Mike Brosseau,TBR
Rex Brothers,CHC
Seth Brown,OAK
JT Brubaker,PIT
Jay Bruce,NYY
Kris Bryant,CHC
Walker Buehler,LAD
J.B. Bukauskas,ARI
Madison Bumgarner,ARI
Corbin Burnes,MIL
Byron Buxton,MIN
Asdrubal Cabrera,ARI
Genesis Cabrera,STL
Miguel Cabrera,DET
Trevor Cahill,PIT
Lorenzo Cai,MIL
Kole Calhoun,ARI
Willie Calhoun,TEX
Johan Camargo,ATL
Paul Campbell,MIA
Luis Campusano,SDP
Jeimer Candelario,DET
Mark Canha,OAK
Victor Caratini,SDP
Dylan Carlson,STL
Matt Carpenter,STL
Curt Casali,SFG
Daniel Castano,MIA
Nicholas Castellanos,CIN
Diego Castillo,TBR
Luis Castillo,CIN
Harold Castro,DET
Jason Castro,HOU
Miguel Castro,NYM
Rodolfo Castro,PIT
Starlin Castro,WSN
Willi Castro,DET
Jake Cave,MIN
Jhoulys Chacin,COL
Andrew Chafin,CHC
Yu Chang,CLE
Matt Chapman,OAK
Michael Chavis,BOS
Jazz Chisholm,MIA
Adam Cimber,MIA
Steve Cishek,LAA
Taylor Clarke,ARI
Emmanuel Clase,CLE
Alex Claudio,LAA
Sam Clay,WSN
Garrett Cleavinger,LAD
Zack Collins,CHW
Alex Colome,MIN
Michael Conforto,NYM
Willson Contreras,CHC
Sam Coonrod,PHI
Garrett Cooper,MIA
Patrick Corbin,WSN
Franchy Cordero,BOS
Carlos Correa,HOU
Brandon Crawford,SFG
J.P. Crawford,SEA
Stefan Crichton,ARI
Kyle Crick,PIT
Nabil Crismatt,SDP
C.J. Cro,COL
Jake Cronenworth,SDP
Wil Crowe,PIT
Nelson Cru,MIN
Johnny Cueto,SFG
Charlie Culberson,TEX
John Curtiss,MIA
Travis d'Arnaud,ATL
David Dahl,TEX
Bobby Dalbec,BOS
Yu Darvish,SDP
Zach Davies,CHC
J.D. Davis,NYM
Jonathan Davis,TOR
Wade Davis,KCR
Ronnie Dawson,HOU
Grant Dayton,ATL
Yonathan Daz,COL
Austin Dea,STL
Jacob deGrom,NYM
Paul DeJong,STL
Anthony DeSclafani,SFG
Ross Detwiler,MIA
Chris Devenski,ARI
Jose Devers,MIA
Rafael Devers,BOS
Aledmys Día,HOU
Edwin Dia,NYM
Elias Dia,COL
Yandy Día,TBR
Alex Dickerson,SFG
Corey Dickerson,MIA
Jake Diekman,OAK
Wilmer Difo,PIT
