Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,2628826482,wadenrere9266,0,170.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Cristian Javier,P,75.48%,26.25
2,2628464375,paco52,0,167.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. SS Carlos Correa 3B Cavan Biggio 2B David Fletcher C Kurt Suzuki OF Justin Upton OF Dexter Fowler,,Griffin Canning,P,58.70%,15.6
3,2628934628,jillkern24,0,166.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. SS Carlos Correa 3B Cavan Biggio 2B David Fletcher C Kurt Suzuki OF Justin Upton OF Myles Straw,,Jose Altuve,2B,48.58%,14
4,2628902870,Hawknation3,0,157.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio C Danny Jansen OF Justin Upton OF Myles Straw,,Mike Trout,OF,46.69%,24
5,2628722752,Munucho,0,155.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Kurt Suzuki OF Dexter Fowler,,Ross Stripling,P,41.94%,9.05
6,2628181060,EmceeDusty44 (46/150),0,154.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Jared Walsh C Danny Jansen OF Myles Straw OF Dexter Fowler,,Jared Walsh,1B,39.42%,2
6,2628582332,rpolak24 (80/150),0,154.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 1B Vladimir Guerrero Jr. 3B Cavan Biggio C Kurt Suzuki 2B Joe Panik OF Justin Upton SS José Iglesias,,Alex Bregman,3B,38.94%,0
8,2628701507,Mr.Gamecock,0,154.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Kurt Suzuki OF Myles Straw,,Carlos Correa,SS,37.09%,25
9,2628181102,EmceeDusty44 (88/150),0,153.3,P Cristian Javier P Ross Stripling OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Shohei Ohtani C Danny Jansen OF Myles Straw OF Dexter Fowler,,Kurt Suzuki,C,36.88%,0
10,2628815082,mdb770 (75/150),0,152.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio C Kurt Suzuki OF Justin Upton 1B Seth Brown,,Shohei Ohtani,1B,33.15%,7
10,2628923257,Mizzou4754,0,152.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Yuli Gurriel C Jason Castro OF Myles Straw OF Dexter Fowler,,José Iglesias,SS,32.16%,13
12,2628846317,jokerdpo (5/6),0,152.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio C Danny Jansen OF Lourdes Gurriel Jr. OF Dexter Fowler,,Justin Upton,OF,27.67%,9
13,2627948997,chiefstigers (11/20),0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Sean Murphy OF Justin Upton OF Dexter Fowler,,Jason Castro,C,26.27%,0
13,2628050490,HUDSDOGGYDOG35,0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Jared Walsh C Sean Murphy OF Justin Upton OF Dexter Fowler,,Michael Brantley,OF,25.32%,3
13,2628802238,sph24618 (116/150),0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani OF Stephen Piscotty C Kurt Suzuki OF Dexter Fowler,,Yuli Gurriel,1B,25.30%,0
13,2628909761,partyhardworkharder (26/150),0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Sean Murphy OF Justin Upton OF Dexter Fowler,,Bo Bichette,SS,22.96%,10
13,2628915334,lootersalwayswin,0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Jason Castro OF Justin Upton OF Dexter Fowler,,Yordan Alvarez,OF,22.85%,21
13,2628932160,rajer18,0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Jared Walsh C Jason Castro OF Justin Upton OF Dexter Fowler,,Kyle Tucker,OF,22.20%,7
13,2628952158,HerveysNipples (2/2),0,151.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 3B Vladimir Guerrero Jr. 2B David Fletcher 1B Jared Walsh C Jason Castro SS José Iglesias OF Dexter Fowler,,Anthony Rendon,3B,21.61%,5
20,2628210706,mjrlaw23 (103/150),0,151.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Myles Straw,,Cole Irvin,P,21.56%,6.4
20,2628803048,DirtyReilly,0,151.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Myles Straw,,Sean Murphy,C,21.05%,0
20,2628882122,air.rock,0,151.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Myles Straw,,Ramón Laureano,OF,20.98%,0
20,2628890252,Kaseyklop (2/2),0,151.3,P Cristian Javier P Ross Stripling OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio OF Lourdes Gurriel Jr. C Jason Castro OF Myles Straw,,Cavan Biggio,3B,20.90%,18
24,2628752011,morongowahl (4/5),0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani 2B David Fletcher C Jason Castro OF Justin Upton OF Myles Straw,,Lourdes Gurriel Jr.,OF,20.37%,3
24,2628836079,nflritter,0,150.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Shohei Ohtani C Kurt Suzuki OF Justin Upton OF Myles Straw,,Marcus Semien,2B,19.81%,0
